# ----------------------------------------
# All Channels
# Visión general
# 20190401-20190708
# ----------------------------------------

Índice de día,Número de visitas a páginas
1/4/19,1.381
2/4/19,1.232
3/4/19,1.464
4/4/19,1.531
5/4/19,1.465
6/4/19,430
7/4/19,310
8/4/19,1.569
9/4/19,1.491
10/4/19,1.470
11/4/19,1.413
12/4/19,1.264
13/4/19,495
14/4/19,309
15/4/19,1.592
16/4/19,1.162
17/4/19,1.171
18/4/19,689
19/4/19,339
20/4/19,382
21/4/19,204
22/4/19,1.335
23/4/19,1.405
24/4/19,1.378
25/4/19,1.141
26/4/19,1.249
27/4/19,479
28/4/19,250
29/4/19,1.394
30/4/19,1.319
1/5/19,574
2/5/19,1.130
3/5/19,901
4/5/19,600
5/5/19,306
6/5/19,1.244
7/5/19,1.342
8/5/19,1.481
9/5/19,1.296
10/5/19,1.410
11/5/19,448
12/5/19,238
13/5/19,1.378
14/5/19,1.390
15/5/19,1.264
16/5/19,1.562
17/5/19,1.176
18/5/19,536
19/5/19,248
20/5/19,1.412
21/5/19,1.429
22/5/19,1.212
23/5/19,1.251
24/5/19,957
25/5/19,452
26/5/19,256
27/5/19,1.460
28/5/19,1.220
29/5/19,1.339
30/5/19,1.488
31/5/19,1.185
1/6/19,493
2/6/19,241
3/6/19,1.199
4/6/19,1.328
5/6/19,1.476
6/6/19,1.433
7/6/19,1.293
8/6/19,527
9/6/19,310
10/6/19,1.455
11/6/19,1.280
12/6/19,1.561
13/6/19,1.369
14/6/19,1.258
15/6/19,463
16/6/19,207
17/6/19,1.271
18/6/19,1.380
19/6/19,1.385
20/6/19,1.006
21/6/19,1.423
22/6/19,536
23/6/19,235
24/6/19,1.076
25/6/19,1.480
26/6/19,1.525
27/6/19,1.404
28/6/19,1.022
29/6/19,475
30/6/19,295
1/7/19,1.003
2/7/19,1.694
3/7/19,1.208
4/7/19,1.247
5/7/19,1.337
6/7/19,564
7/7/19,292
8/7/19,1.316
,102.565
