Manufacturer (short name):text,Manufacturer:text,Year:year,registration:number,Average mass (Kg):number,Average CO2 emissions (g/Km):number
OPEL,ADAM OPEL AG,2010,935499,1382.56,126.92
AUDI AG,AUDI AG,2010,589855,1598.8,133.88
DACIA,AUTOMOBILE DACIA SA,2010,251938,1237.01,133.87
AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,2010,815936,1314.26,118.76
AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,2010,974248,1321.76,119.21
BMW AG,BAYERISCHE MOTOREN WERKE AG,2010,640021,1534.13,129.25
DAIMLER AG,DAIMLER AG,2010,646067,1532.24,137.76
FIAT GROUP,FIAT GROUP AUTOMOBILES SPA,2010,975822,1136.56,115.29
FORD WERKE GMBH,FORD-WERKE GMBH,2010,1076887,1289.42,121.13
GM KOREA,GM KOREA COMPANY,2010,146117,1253.96,125.76
HYUNDAI,HYUNDAI MOTOR COMPANY,2010,325603,1300.33,120.86
KIA,KIA MOTORS CORPORATION,2010,253706,1399.3,126.25
MAZDA,MAZDA MOTOR CORPORATION,2010,170007,1339.67,133.73
NISSAN,NISSAN INTERNATIONAL SA,2010,389818,1347.39,132.13
RENAULT,RENAULT SAS,2010,1125141,1307.33,120.7
SEAT,SEAT SA,2010,288629,1278.38,120.16
SKODA,SKODA AUTO AS,2010,420718,1311.28,127.87
TOYOTA,TOYOTA MOTOR EUROPE NV SA,2010,564633,1335.87,112.24
VOLKSWAGEN,VOLKSWAGEN AG,2010,1469419,1387.65,125.99
VOLVO,VOLVO CAR CORPORATION,2010,204926,1662.43,134.49
HONDA UK,HONDA OF THE UK MANUFACTURING LTD,2010,47840,1446.21,145.932
MAGYAR SUZUKI,MAGYAR SUZUKI CORPORATION LTD,2010,87204,1177.91,130.004
OPEL,ADAM OPEL AG,2011,952340,1429.97,122.86
AUDI AG,AUDI AG,2011,617382,1578,127
DACIA,AUTOMOBILE DACIA SA,2011,235104,1299.64,132.37
AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,2011,742086,1320.01,112.74
AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,2011,871476,1358.19,115.97
