Página,Número de visitas a páginas,Número de páginas vistas únicas,Promedio de tiempo en la página,Entradas,Porcentaje de rebote,Porcentaje de salidas,Valor de página
/Analytics/Index/es,132.554,86.396,0:09:56,85.303,"4,43 %","42,39 %","0,00 US$"
/Analytics/Index/es?code=history,22.839,13.363,0:07:11,1.338,"0,88 %","31,95 %","0,00 US$"
/Analytics/Index/es?code=trips,15.508,9.409,0:04:36,459,"24,30 %","21,38 %","0,00 US$"
/Analytics/Index/es?code=alerts,14.473,9.154,0:06:27,442,"3,47 %","26,88 %","0,00 US$"
/Analytics/Index/es?code=distance,13.450,9.376,0:06:47,563,"17,63 %","34,01 %","0,00 US$"
/Analytics/Index/es?code=visits,9.710,6.471,0:06:19,418,"1,08 %","24,73 %","0,00 US$"
/Analytics/Index/es?code=drivingscore,7.545,5.554,0:07:31,263,"23,47 %","32,60 %","0,00 US$"
/Analytics/Index/es?code=eventssummary,6.096,4.472,0:23:48,412,"6,97 %","70,93 %","0,00 US$"
/Analytics/Index/es?code=driverbehavior,5.860,4.118,0:01:56,139,"24,71 %","19,97 %","0,00 US$"
/Analytics/Index/es?code=fuelconsumption,5.764,4.163,0:03:36,154,"18,33 %","19,88 %","0,00 US$"
,254.202,168.210,0:08:28,94.266,"0,10 %","37,08 %","0,00 US$"
