Id;Imei;Incio_Viaje;Hora_Incio_Viaje;Fin_Viaje;Tiempo_Pausas_hh;Direccion_Inicio;Direeccion_Fin;Latitud_Inicio;Longitud_Inicio;Latitud_Fin;Longitud_Fin;Kilometro_Total_Recorrido;Fin_Odometer;Inicio_Odometro;Puntaje_de_Conduccion;Frenado_Brusco;Acelerado_Brusco;Exceso_Velocidad;Exceso_Segmento;Marca;Modelo;Placa;Chasis;Alias;Grupo;Cliente;daily_ignition_on_move;Tiempo_Recorrido_hh;Tiempo_Detenido_hh;daily_ignition_on_stop;Unidad_Medida_Consumo Combustible;Consumo_Medio_Combustible;Codigo_Viaje;Empresa
400698;400698;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;0,67;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;54,42;39224,58;39170,15;98,7;1;0;0;NULL;CHEVROLET;NKR III;EQP414;9GDNMR857JB015080;MEALS MEDELLIN;AVIS Meals;MEALS MEDELLIN;1899-12-30 00:00:00.000;0,67;0,67;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400746;400746;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;1,37;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;61,9;35734,36;35672,46;99,31;0;0;0;NULL;CHEVROLET;NKR III;EQP415;9GDNMR850JB015373;MEALS BARRANQUILLA;AVIS Meals;MEALS BARRANQUILLA;1899-12-30 00:00:00.000;0,74;1,37;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400699;400699;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;1,61;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;59,69;36055,07;35995,39;99,06;0;0;0;NULL;CHEVROLET;NKR III;EQP416;9GDNMR851JB015608;MEALS BARRANQUILLA;AVIS Meals;MEALS BARRANQUILLA;1899-12-30 00:00:00.000;0,89;1,61;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400706;400706;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;1,42;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;40;41030,18;40990,18;98,08;0;0;0;NULL;CHEVROLET;NKR III;EQP417;9GDNMR857JB015659;MEALS BARRANQUILLA;AVIS  Meals;MEALS BARRANQUILLA;1899-12-30 00:00:00.000;1,01;1,42;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400704;400704;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;0,56;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;50,41;43276,4;43225,99;98,84;0;0;0;NULL;CHEVROLET;NKR III;EQP418;9GDNMR855JB015739;MEALS BARRANQUILLA;AVIS Meals;MEALS BARRANQUILLA;1899-12-30 00:00:00.000;0,73;0,56;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400748;400748;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;0,47;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;55,74;30703,91;30648,17;99,86;0;0;0;NULL;CHEVROLET;NKR III;EQP419;9GDNMR851JB015740;MEALS MEDELLIN;AVIS Meals;MEALS MEDELLIN;1899-12-30 00:00:00.000;0,78;0,47;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400702;400702;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;0,52;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;43,44;50287,4;50243,96;95,64;0;0;0;NULL;CHEVROLET;NKR III;EQP420;9GDNMR854JB015831;MEALS BARRANQUILLA;AVIS Meals;MEALS BARRANQUILLA;1899-12-30 00:00:00.000;0,68;0,52;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400700;400700;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;0,3;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;57,94;37936,49;37878,55;98;0;0;0;NULL;CHEVROLET;NKR III;EQP421;9GDNMR856JB015832;MEALS BARRANQUILLA;AVIS  Meals;MEALS BARRANQUILLA;1899-12-30 00:00:00.000;0,74;0,3;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400707;400707;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;0,24;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;60,31;34531,88;34471,57;99,62;0;0;0;NULL;CHEVROLET;NKR III;EQP422;9GDNMR856JB016057;MEALS MEDELLIN;AVIS Meals;MEALS MEDELLIN;1899-12-30 00:00:00.000;0,65;0,24;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
400708;400708;2019-08-01 00:00:00.000;8;2019-08-01 00:00:00.000;1,07;CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);CO,Atlantico,Soledad,Calle 49 - Rel: Cl 48 E-6 C S a 247m de:Vaneesa,en (Barranquilla),en ruta(BAL012);10,924325;-74,81022;10,924325;-74,81022;40,26;47478,28;47438,03;99,49;0;0;0;NULL;CHEVROLET;NKR III;EQP423;9GDNMR859JB016201;MEALS BARRANQUILLA;AVIS Meals;MEALS BARRANQUILLA;1899-12-30 00:00:00.000;0,48;1,07;1899-12-30 00:00:00.000;KPG;0;0;Monitoreo
