Date,Platform,Duration,App Version,OS Version,User Index,User Id,Session,Device,Country,Location,Screens,Actions,Crashed,App Killed,Connectivity,Video,Offline,Tags
05/09/2019 20:47,Android,00:00,1.27,8.1.0,6854,Anonymous,45,Samsung Galaxy J7 Prime Duos,Ecuador,"Guayaquil, Guayas",1,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71babf8f5beb15256b931e,No,
05/09/2019 20:46,Android,00:00:18,1.27,8.1.0,6854,Anonymous,44,Samsung Galaxy J7 Prime Duos,Ecuador,"Guayaquil, Guayas",3,1,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71ba918f5beb1520115a93,No,
05/09/2019 20:46,Android,00:00:03,1.27,8.1.0,6854,Anonymous,43,Samsung Galaxy J7 Prime Duos,Ecuador,"Guayaquil, Guayas",1,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71ba8d8f5beb1520115a8e,Yes,
05/09/2019 20:42,Android,00:00:04,1.27,5.1.1,6470,Anonymous,181,SM-J120M,Ecuador,"Guayaquil, Guayas",1,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71b9a21ca9ae15e5501f58,No,
05/09/2019 20:42,Android,00:00:47,1.27,7.0,268,Anonymous,851,HUAWEI CAN-L13,Ecuador,"Rosa Zarate, Esmeraldas",7,4,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71b991dfa0c01890e27f33,No,
05/09/2019 20:42,Android,00:01:17,1.29,8.0.0,5849,Anonymous,8,G3423,Ecuador,"Quito, Pichincha",3,1,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71b985105c0114f58bc17a,No,
05/09/2019 20:35,Android,00:00:03,1.27,9,1995,Anonymous,815,SM-J415G,Ecuador,"Guayaquil, Guayas",2,2,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71b7f88d60ef15298cf17a,No,
05/09/2019 20:35,Android,00:00:03,1.27,9,1995,Anonymous,814,SM-J415G,Ecuador,"Guayaquil, Guayas",1,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71b7ede9a29e09e7a4e488,No,
05/09/2019 20:33,Android,00:00:12,1.27,8.0.0,994,Anonymous,453,FIG-LX3,Ecuador,"Quito, Pichincha",4,2,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71b75bde9b4c1816d93522,No,
05/09/2019 20:32,Android,00:01:10,1.27,5.1.1,6470,Anonymous,180,SM-J120M,Ecuador,"Guayaquil, Guayas",5,2,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71b7161ca9ae15ea5ff07d,No,
