Date,Platform,Duration,App Version,OS Version,User Index,User Id,Session,Device,Country,Location,Screens,Actions,Crashed,App Killed,Connectivity,Video,Offline,Tags
05/09/2019 20:01,Android,00:01:01,1.27,9,809,Anonymous,3008,SM-J415G,Peru,"Chiclayo, Lambayeque",7,2,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71aff68d60ef15298c8eac,No,
05/09/2019 19:29,Android,00:00:34,1.27,6.0,5944,Anonymous,107,Lenovo PB2-650Y,Peru,"Lima, Lima",7,9,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d71a87c8d60ef1524c98b50,No,
05/09/2019 15:20,Android,00:00:00,1.27,6.0,5944,Anonymous,106,Lenovo PB2-650Y,Peru,"Lima, Lima",2,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d716e0d8d60ef1529897e18,No,
05/09/2019 15:11,Android,00:01:34,1.27,6.0,5944,Anonymous,105,Lenovo PB2-650Y,Peru,"Lima, Lima",7,5,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d716bf98d60ef1524c6bd72,No,
05/09/2019 15:11,Android,00:00,1.27,6.0,5944,Anonymous,104,Lenovo PB2-650Y,Peru,"Lima, Lima",2,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d716bf78d60ef1529896a69,No,
05/09/2019 15:11,Android,00:00:14,1.27,6.0,5944,Anonymous,103,Lenovo PB2-650Y,Peru,"Lima, Lima",2,13,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d716be68d60ef15298969c9,No,
05/09/2019 15:11,Android,00:00:09,1.27,6.0,5944,Anonymous,102,Lenovo PB2-650Y,Peru,"Lima, Lima",2,6,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d716bda8d60ef15274dc5a6,No,
05/09/2019 12:20,Android,00:00:13,1.27,9,3887,Anonymous,194,SM-A205G,Peru,"Trujillo, La Libertad",3,0,No,No,WiFi,http://dashboard.appsee.com/Videos/External/5d7143d2d48b1f1515a31ce6,No,
05/09/2019 12:18,Android,00:00:23,1.27,9,3887,Anonymous,193,SM-A205G,Peru,"Trujillo, La Libertad",1,0,No,No,No Connectivity,http://dashboard.appsee.com/Videos/External/5d714353d48b1f1515a31ce5,Yes,
05/09/2019 12:17,Android,00:00:01,1.27,9,3887,Anonymous,192,SM-A205G,Peru,"Trujillo, La Libertad",1,0,No,No,No Connectivity,http://dashboard.appsee.com/Videos/External/5d714317d48b1f1515a31ce3,Yes,
05/09/2019 12:17,Android,00:00,1.27,9,3887,Anonymous,191,SM-A205G,Peru,"Trujillo, La Libertad",1,0,No,No,No Connectivity,http://dashboard.appsee.com/Videos/External/5d714313d48b1f1515a31ce1,Yes,
