"state_name","name","addr","city","abbrev","zip","webaddr","textcond","sp_text_cond","description","over65","under65","na_available","community","issue","attained","na_rating","last_mod"
"Alaska","AARP Medicare Supplement Plans  insured by UnitedHealthcare Insurance Company","Post Office Box 30607","Salt Lake City","UT","84130","AARPMedicareSupplement.com","Group Plan","Plan grupal","Medigap Policy A","True","False","False","False","False","True","False","Jul 03  2013"
"Alaska","AARP Medicare Supplement Plans  insured by UnitedHealthcare Insurance Company","Post Office Box 30607","Salt Lake City","UT","84130","AARPMedicareSupplement.com","Group Plan","Plan grupal","Medigap Policy B","True","False","False","False","False","True","False","Jul 03  2013"
"Alaska","AARP Medicare Supplement Plans  insured by UnitedHealthcare Insurance Company","Post Office Box 30607","Salt Lake City","UT","84130","AARPMedicareSupplement.com","Group Plan","Plan grupal","Medigap Policy C","True","False","False","False","False","True","False","Jul 03  2013"
"Alaska","AARP Medicare Supplement Plans  insured by UnitedHealthcare Insurance Company","Post Office Box 30607","Salt Lake City","UT","84130","AARPMedicareSupplement.com","Group Plan","Plan grupal","Medigap Policy F","True","False","False","False","False","True","False","Jul 03  2013"
"Alaska","United American Insurance Co","3700 S. Stonebridge Drive  P. O. Box 8080","McKinney","TX","75070","www.UnitedAmerican.com","Individual Plan","Plan individual","Medigap Policy A","True","False","False","False","False","True","False","Jul 03  2013"
"Alaska","United American Insurance Co","3700 S. Stonebridge Drive  P. O. Box 8080","McKinney","TX","75070","www.UnitedAmerican.com","Individual Plan","Plan individual","Medigap Policy B","True","False","False","False","False","True","False","Jul 03  2013"
"Alaska","United American Insurance Co","3700 S. Stonebridge Drive  P. O. Box 8080","McKinney","TX","75070","www.UnitedAmerican.com","Individual Plan","Plan individual","Medigap Policy C","True","False","False","False","False","True","False","Jul 03  2013"
"Alaska","United American Insurance Co","3700 S. Stonebridge Drive  P. O. Box 8080","McKinney","TX","75070","www.UnitedAmerican.com","Individual Plan","Plan individual","Medigap Policy D","True","False","False","False","False","True","False","Jul 03  2013"
"Alaska","United American Insurance Co","3700 S. Stonebridge Drive  P. O. Box 8080","McKinney","TX","75070","www.UnitedAmerican.com","Individual Plan","Plan individual","Medigap Policy F","True","False","False","False","False","True","False","Jul 03  2013"
"Alaska","United American Insurance Co","3700 S. Stonebridge Drive  P. O. Box 8080","McKinney","TX","75070","www.UnitedAmerican.com","Individual Plan","Plan individual","Medigap Policy G","True","False","False","False","False","True","False","Jul 03  2013"
"Alaska","Globe Life & Accident Insurance Company","DIRECT SOLICITATION RESPONSE PRODUCT  3700 South Stonebridge Drive  P.O. Box 2440","McKinney","TX","75070","www.globecaremedsupp.com","Individual Plan","Plan individual","Medigap Policy A","True","False","False","False","False","True","False","Jun 17  2015"
"Alaska","Globe Life & Accident Insurance Company","DIRECT SOLICITATION RESPONSE PRODUCT  3700 South Stonebridge Drive  P.O. Box 2440","McKinney","TX","75070","www.globecaremedsupp.com","Individual Plan","Plan individual","Medigap Policy B","True","False","False","False","False","True","False","Jun 17  2015"
"Alaska","Globe Life & Accident Insurance Company","DIRECT SOLICITATION RESPONSE PRODUCT  3700 South Stonebridge Drive  P.O. Box 2440","McKinney","TX","75070","www.globecaremedsupp.com","Individual Plan","Plan individual","Medigap Policy C","True","False","False","False","False","True","False","Jun 17  2015"
"Alaska","Globe Life & Accident Insurance Company","DIRECT SOLICITATION RESPONSE PRODUCT  3700 South Stonebridge Drive  P.O. Box 2440","McKinney","TX","75070","www.globecaremedsupp.com","Individual Plan","Plan individual","Medigap Policy F","True","False","False","False","False","True","False","Jun 17  2015"
"Alaska","USAA Life Insurance Co","9800 Fredericksburg Road","San Antonio","TX","78288","www.usaa.com","Individual Plan","Plan individual","Medigap Policy A","True","False","False","False","False","True","False","Jul 03  2013"
"Alaska","USAA Life Insurance Co","9800 Fredericksburg Road","San Antonio","TX","78288","www.usaa.com","Individual Plan","Plan individual","Medigap Policy F","True","False","False","False","False","True","False","Jul 03  2013"
"Alaska","Humana Insurance Company (HIC)","500 West Main St","Louisville","KY","40202","www.humana.com","Individual Plan","Plan individual","Medigap Policy A","True","True","False","False","False","True","True","Jul 03  2013"
"Alaska","Humana Insurance Company (HIC)","500 West Main St","Louisville","KY","40202","www.humana.com","Individual Plan","Plan individual","Medigap Policy B","True","False","False","False","False","True","False","Jul 03  2013"
"Alaska","Humana Insurance Company (HIC)","500 West Main St","Louisville","KY","40202","www.humana.com","Individual Plan","Plan individual","Medigap Policy C","True","False","False","False","False","True","False","Jul 03  2013"
"Alaska","Humana Insurance Company (HIC)","500 West Main St","Louisville","KY","40202","www.humana.com","Individual Plan","Plan individual","Medigap Policy F","True","False","False","False","False","True","False","Jul 03  2013"
"Alaska","Humana Insurance Company (HIC)","500 West Main St","Louisville","KY","40202","www.humana.com","Individual Plan","Plan individual","Medigap Policy F - High Deductible","True","False","False","False","False","True","False","Jul 03  2013"
"Alaska","AARP Medicare Supplement Plans  insured by UnitedHealthcare Insurance Company","Post Office Box 30607","Salt Lake City","UT","84130","AARPMedicareSupplement.com","Group Plan","Plan grupal","Medigap Policy K","True","False","False","False","False","True","False","Jul 03  2013"
